4794.5,4606.3,4210.8,4498.9,4876.8,4714.3,4552.8,4567.8,4418.3,4528.4,4075.6,3398,3271,3412.7,2890.2,2542.1,2423.3,2792,2998.4,3271.2,3596.1,3889,4311.5,5065,5407.5,4943.5,4461.1,3893.7,4411.2,4465\
4583.1,4453.6,4036.3,4444.6,4569,4540.3,4370.4,4472.1,4220.2,4031.3,3837.6,3317.8,2714.4,3094.8,3044.3,2392.9,2352.9,2780.4,2952.5,2999.4,3336.2,3721.7,4040.2,4641.5,5053.8,4952.2,4462.4,3970.7,3870.4,4073.9\
4506.2,4373,3912.4,4341.6,4333.3,4500.4,4219.8,4282.6,4038.9,3708.1,3819,3488.1,2833.1,2421.7,2688.3,2079.6,2332.9,2563.9,2843,3038.4,3290.8,3655.6,4159.3,4735.9,4758.4,4421.8,4275.7,3661.8,4207.9,4494.2\
4450.7,4147.7,3816.3,3976.7,4321.6,4397.6,4354.4,3824.9,3867.8,3631,3632.5,3547.4,3079.5,2565.4,2076.7,2187.7,2647.7,3172.3,3455,3614.2,3772.8,3943.2,4392.2,4864.4,4735.4,4284.3,3839.8,3688.5,4344.9,4856.9\
4347.1,4362.8,3969.6,3699.5,3920.5,4279.2,4091.3,3845.2,3521.2,3392,3065.4,3623.4,3406.3,2922.7,2220.5,2486.9,2890.4,3376.7,3714.8,4211.6,4462.5,4488.2,4813.2,5052.2,4538.6,4109.2,3749.3,3772.3,4511.1,4599\
4318.4,4190.1,4070.8,3535.1,3705.1,4131.7,3758.2,3793.3,3751,3622.4,3082.8,3265.6,2867.8,2589,1990.7,1992.1,2413.9,2831.5,3243.8,3530.6,3769,4263.8,4459.6,4635.1,4398.5,4080.5,3487.1,3700.7,3781.9,3966.2\
4147.7,3907,3830.6,3424.3,3573,3890.8,3724.9,3532.1,3347.1,3363,3237.3,2754.8,2455.7,2221.8,1717.6,2382.7,2633.8,2746.2,2898.2,3203.6,3545.3,4129,4271.5,4127.2,4200.7,3909.9,3288.4,3604.1,3843.1,4006.1\
4035.1,3859.1,3781.5,3362.5,3449.4,3648.6,3104.8,3208.1,3550.5,3283.6,2912.3,2735,2634,1943.4,1876.4,2611.3,2866,3293.1,3384,3616.9,3890.9,4188.3,4237.5,3835.5,3619.5,3532.1,2968.7,3456.2,4076,4422.6\
4049.2,3851.1,3565.6,3088.6,3430.5,3316.8,3058.9,2748.7,3240.6,3018.7,2883,3187.9,2729,1926.1,1818.3,2127.3,2399.3,2901.9,3324.3,3710,3951.6,4262.6,3625.6,3558,3223.5,2968.5,3065.9,3682.2,4022.2,4422.7\
3904.5,3803.4,3415.7,3136,3173.5,3003,2679.4,2480.5,2747.3,2411.5,2419.3,2737.7,2330.6,1764.1,1721.3,2205.5,2413.9,2552.7,2907.4,3285.1,3802.1,3991.1,3327.3,2798.6,2698.6,2904.2,3409.5,3299.3,3615.4,4034.7\
3572.4,3391.3,3326.5,3185.7,2813.3,3014.2,2576.1,2141.1,2378.5,2326.2,2135.7,2376.5,1949.7,1616.6,2064.2,1936.4,2012.4,2176.2,2526.5,3045.1,3687.1,3284.2,3303.3,2871.4,2464.6,3258.9,3452.1,3851.9,4028.9,3919.4\
