Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Abalos Colles","Mars",235.83,76.83,288.35,"Planetocentric  +East  0 - 360","Approved","2003","Named for classical albedo feature at 72N, 70W.",
"Abalos Mensa","Mars",129.18,81.17,284.4,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Abalos Scopuli","Mars",109.16,80.72,283.44,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Abalos Undae","Mars",442.74,78.52,272.5,"Planetocentric  +East  0 - 360","Approved","1988","Classical albedo feature at 72N, 70W.",
"Aban","Mars",4.28,15.91,111.1,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Abus Vallis","Mars",60.99,-5.49,212.8,"Planetocentric  +East  0 - 360","Approved","1985","Classical name for Humber River in England.",
"Achar","Mars",5.36,45.43,123.16,"Planetocentric  +East  0 - 360","Approved","1979","Town in Uruguay.",
"Acheron Catena","Mars",421.77,37.47,259.2,"Planetocentric  +East  0 - 360","Approved","1979","Named for classical albedo feature at 35N, 140W.",
"Acheron Fossae","Mars",703.11,38.27,224.98,"Planetocentric  +East  0 - 360","Approved","1979","From classical albedo feature at 35N, 140W.",
"Acidalia Colles","Mars",356.3,50.34,336.91,"Planetocentric  +East  0 - 360","Approved","2000","From classical albedo feature name.",
"Acidalia Mensa","Mars",226.86,46.69,334.66,"Planetocentric  +East  0 - 360","Approved","2000","From classical albedo feature name.",
"Acidalia Planitia","Mars",3362.97,49.76,339.26,"Planetocentric  +East  0 - 360","Approved","1973","From classical albedo feature at 44N, 21W.",
"Ada","Mars",2.09,-3.06,356.78,"Planetocentric  +East  0 - 360","Approved","Sep 14, 2006","Town in Oklahoma, USA.",
"Adamas Labyrinthus","Mars",853,35.7,105.12,"Planetocentric  +East  0 - 360","Approved","1982","Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.",
"Adams","Mars",90.22,30.91,163.1,"Planetocentric  +East  0 - 360","Approved","1973","Walter S.; American astronomer (1876-1956).",
"Aeolis","Mars",0,-4.94,145,"Planetocentric  +East  0 - 360","Approved","1958","Floating island where winds were kept in a cave.",
"Aeolis Dorsa","Mars",459.17,-5.05,152.63,"Planetocentric  +East  0 - 360","Approved","Jul 27, 2012","Classical albedo feature name.",
"Aeolis Mensae","Mars",785.09,-3.25,140.63,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Aeolis Mons","Mars",88.99,-5.08,137.85,"Planetocentric  +East  0 - 360","Approved","May 16, 2012","Classical albedo feature name.",
"Aeolis Palus","Mars",111.63,-4.47,137.42,"Planetocentric  +East  0 - 360","Approved","May 16, 2012","Classical albedo feature name.",
"Aeolis Planum","Mars",852.81,-1.14,144.76,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Aeolis Serpens","Mars",538.55,-1.38,149.57,"Planetocentric  +East  0 - 360","Approved","Aug 27, 2012","Classical albedo feature name.",
"Aeria","Mars",0,9.88,50,"Planetocentric  +East  0 - 360","Approved","1958","Greek name for Egypt; ""far land of mist"".",
"Aesacus Dorsum","Mars",276.69,36.82,153.15,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 45N, 205W.",
"Aetheria","Mars",0,39.67,130,"Planetocentric  +East  0 - 360","Approved","1958","Upper world; land of living.",
"Aethiopis","Mars",0,9.88,130,"Planetocentric  +East  0 - 360","Approved","1958","Countries of the Ethiopians on southern edge of the Earth.",
"Aganippe Fossa","Mars",537.16,-8.49,234,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Agassiz","Mars",108.77,-69.88,271.11,"Planetocentric  +East  0 - 360","Approved","1973","Jean L.; American naturalist (1807-1873).",
"Airy","Mars",43.05,-5.14,0.05,"Planetocentric  +East  0 - 360","Approved","1973","George B.; British astronomer (1801-1892).",
"Airy-0","Mars",0.79,-5.07,0,"Planetocentric  +East  0 - 360","Approved","2003","Small crater within crater Airy that defines zero degrees longitude on Mars.",
"Ajon","Mars",8.08,16.49,103.14,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Aki","Mars",7.87,-35.46,299.76,"Planetocentric  +East  0 - 360","Approved","1979","Town in Japan.",
"Aktaj","Mars",5.01,20.41,313.51,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Alamos","Mars",6.44,23.48,322.88,"Planetocentric  +East  0 - 360","Approved","Sep 14, 2006","Town in Mexico.",
"Alba Catena","Mars",144.86,35.04,245.42,"Planetocentric  +East  0 - 360","Approved","1985","Classical albedo name.",
"Alba Fossae","Mars",2072.02,49.39,253.18,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo name.",
"Alba Mons","Mars",548.02,41.08,249.29,"Planetocentric  +East  0 - 360","Approved","Sep 19, 2007","Classical albedo feature name.",
"Albany","Mars",2.15,22.96,310.98,"Planetocentric  +East  0 - 360","Approved","1979","American colonial town (New York).",
"Alba Patera","Mars",65.98,39.53,250.82,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo name.",
"Albi","Mars",9.07,-41.47,324.99,"Planetocentric  +East  0 - 360","Approved","1976","Town in France.",
"Albor Fossae","Mars",155,18.09,150.78,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 20N, 205W.",
"Albor Tholus","Mars",158.38,18.87,150.47,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Alexey Tolstoy","Mars",93.04,-47.44,125.34,"Planetocentric  +East  0 - 360","Approved","1982","Aleksey; Soviet writer (1882-1945).",
"Alga","Mars",18.72,-24.34,333.32,"Planetocentric  +East  0 - 360","Approved","1976","Town in Kazakhstan.",
"Alitus","Mars",50,-34.91,321.86,"Planetocentric  +East  0 - 360","Approved","1979","(Alytus), town in Lithuania.",
"Allegheny Vallis","Mars",171.08,-9.01,306.1,"Planetocentric  +East  0 - 360","Approved","2003","River in Pennsylvania, USA.",
"Alpheus Colles","Mars",633.03,-39.38,61.53,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 45S, 292W.",
"Al-Qahira Vallis","Mars",600,-18.23,162.41,"Planetocentric  +East  0 - 360","Approved","1973","Word for 'Mars' in Arabic, Indonesian, Malay.",
"Amazonis","Mars",0,0,220,"Planetocentric  +East  0 - 360","Approved","1958","Land of the Amazons; on the island Hesperia.",
"Amazonis Mensa","Mars",414.04,-1.98,213.1,"Planetocentric  +East  0 - 360","Approved","2003","Classical albedo feature name.",
"Amazonis Planitia","Mars",2809.04,25.75,197.09,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name; home of the Amazons.",
"Amazonis Sulci","Mars",250.59,-2.15,216.29,"Planetocentric  +East  0 - 360","Approved","1985","Albedo feature name; home of the Amazons.",
"Amenthes","Mars",0,4.94,110,"Planetocentric  +East  0 - 360","Approved","1958","Egyptian name for place where souls of the dead go.",
"Amenthes Cavi","Mars",1330.5,16.23,114.52,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Amenthes Fossae","Mars",850,9.07,102.68,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Amenthes Planum","Mars",0,3.4,105.92,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Amenthes Rupes","Mars",335.25,1.51,110.68,"Planetocentric  +East  0 - 360","Approved","1982","Classical albedo feature name.",
"[Amet]","Mars",0,23.45,302.6,"Planetocentric  +East  0 - 360","Dropped","1988","Town in India.",
"[Ammonii Rupes]","Mars",100,-6.52,175.8,"Planetocentric  +East  0 - 360","Dropped","1985","Named for albedo feature at 6S, 183W.",
"Amphitrites Patera","Mars",129.8,-58.7,60.87,"Planetocentric  +East  0 - 360","Approved","1973","Mare Amphitrites; classical albedo feature name.",
"Amsterdam","Mars",1.66,23,313,"Planetocentric  +East  0 - 360","Approved","1979","Dutch port.",
"Angu","Mars",2.08,20.01,105.64,"Planetocentric  +East  0 - 360","Approved","1988","Town in Zaire.",
"[Angusta Patera]","Mars",15.4,-80.59,280.5,"Planetocentric  +East  0 - 360","Dropped","1991","Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named.",
"Angustus Labyrinthus","Mars",67.52,-81.62,296.61,"Planetocentric  +East  0 - 360","Approved","Sep 13, 2006","Classical albedo feature name.",
"Aniak","Mars",50.97,-31.84,290.44,"Planetocentric  +East  0 - 360","Approved","1979","Town in Alaska, USA.",
"Anio Valles","Mars",54,37.75,55.89,"Planetocentric  +East  0 - 360","Approved","1988","Classical river in Italy; modern Aniene and Teverone rivers.",
"Annapolis","Mars",1.11,23.16,312.27,"Planetocentric  +East  0 - 360","Approved","1979","American colonial town (Maryland).",
"[Anseris Cavus]","Mars",35,-29.71,95.5,"Planetocentric  +East  0 - 360","Dropped","1994","Named for albedo feature Anseris Fons. Same feature as Peraea Cavus.",
"Anseris Mons","Mars",52.51,-29.81,86.65,"Planetocentric  +East  0 - 360","Approved","1991","From albedo feature Anseris Fons.",
"Antoniadi","Mars",400.95,21.38,60.83,"Planetocentric  +East  0 - 360","Approved","1973","Eugène Michael; Turkish-born French astronomer (1870-1944).",
"Aonia Mons","Mars",27.07,-53.33,272.08,"Planetocentric  +East  0 - 360","Approved","Mar 4, 2013","Classical albedo feature name.",
"Aonia Planum","Mars",563.45,-57.9,281.33,"Planetocentric  +East  0 - 360","Approved","2003","Classical albedo feature name.",
"Aonia Terra","Mars",3873.48,-60.2,262.95,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Aonia Tholus","Mars",53.69,-59.04,279.96,"Planetocentric  +East  0 - 360","Approved","Mar 4, 2013","Classical albedo feature name.",
"Aonium Sinus","Mars",0,-44.66,255,"Planetocentric  +East  0 - 360","Approved","1958","Named for Aonides, or Muses.",
"Apia","Mars",10.06,-37.28,89.02,"Planetocentric  +East  0 - 360","Approved","1991","Town in Samoa.",
"[Apodis Catena]","Mars",0,-26.93,103.2,"Planetocentric  +East  0 - 360","Dropped","1991","Classical albedo name.",
"Apollinaris Mons","Mars",275.4,-9.17,174.79,"Planetocentric  +East  0 - 360","Approved","Sep 19, 2007","Classical albedo feature name. ",
"Apollinaris Patera","Mars",89.6,-8.57,174.18,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Apollinaris Sulci","Mars",188.64,-11.06,177.47,"Planetocentric  +East  0 - 360","Approved","1985","Albedo feature at 5S, 187W.",
"Apollinaris Tholus","Mars",32.39,-17.64,175.75,"Planetocentric  +East  0 - 360","Approved","1997","Albedo feature name.",
"Apsus Vallis","Mars",121.56,34.91,134.99,"Planetocentric  +East  0 - 360","Approved","1985","Classical river in ancient Macedonia, present-day Greece.",
"Apt","Mars",9.57,39.88,350.53,"Planetocentric  +East  0 - 360","Approved","1976","Town in France.",
"Arabia","Mars",0,19.78,30,"Planetocentric  +East  0 - 360","Approved","1958","Country bordering on Aeria (Egypt).",
"Arabia Terra","Mars",4851.74,21.25,5.72,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Arago","Mars",152.35,10.22,29.93,"Planetocentric  +East  0 - 360","Approved","1973","Dominique F.; French astronomer (1786-1853).",
"Aram Chaos","Mars",283.81,2.52,337.61,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Aram Dorsum","Mars",83.31,7.8,348.76,"Planetocentric  +East  0 - 360","Approved","Apr 29, 2014","Classical albedo feature name.",
"Arandas","Mars",24.76,42.41,344.97,"Planetocentric  +East  0 - 360","Approved","1976","Town in Mexico.",
"Arcadia","Mars",0,44.66,260,"Planetocentric  +East  0 - 360","Approved","1958","Mountainous region in southern Greece.",
"Arcadia Dorsa","Mars",1952.65,55.9,222.44,"Planetocentric  +East  0 - 360","Approved","2003","Named for classical albedo feature at 45N, 120W.",
"Arcadia Planitia","Mars",1871.97,47.19,184.31,"Planetocentric  +East  0 - 360","Approved","1973","From classical albedo feature at 45N, 120W.",
"Arda Valles","Mars",173.67,-20.4,327.69,"Planetocentric  +East  0 - 360","Approved","1976","Ancient European river (Bulgaria).",
"Arena Colles","Mars",580.12,24.63,82.93,"Planetocentric  +East  0 - 360","Approved","1985","Classical albedo feature at 13N, 294W.",
"Arena Dorsum","Mars",372.03,12.71,68.94,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"[Arena Rupes]","Mars",375,13.35,70.5,"Planetocentric  +East  0 - 360","Dropped","1976","Name changed in 1982 to Arnus Vallis.",
"Ares Vallis","Mars",1757.67,10.29,334.39,"Planetocentric  +East  0 - 360","Approved","1973","Word for 'Mars' in Greek.",
"Argas","Mars",3.55,23.33,309.83,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Argentea Planum","Mars",1370.64,-72.49,298.33,"Planetocentric  +East  0 - 360","Approved","2003","Classical albedo feature name.",
"Argyre","Mars",0,-44.66,335,"Planetocentric  +East  0 - 360","Approved","1958","""Silver"" Island at mouth of Ganges River; present-day Arakan, Burma.",
"Argyre Cavi","Mars",72.33,-48.31,319.88,"Planetocentric  +East  0 - 360","Approved","1991","Albedo name.",
"Argyre Mons","Mars",60.58,-50.37,311.91,"Planetocentric  +East  0 - 360","Approved","Feb 18, 2014","Classical albedo feature name.",
"Argyre Planitia","Mars",892.93,-49.84,316.69,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Argyre Rupes","Mars",335.42,-62.15,291.25,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Ariadnes Colles","Mars",188.01,-34.5,172.78,"Planetocentric  +East  0 - 360","Approved","1982","Classical albedo feature name.",
"Arica","Mars",15.77,-23.8,110.24,"Planetocentric  +East  0 - 360","Approved","1991","Town in Colombia.",
"Arima","Mars",53.59,-15.84,296.32,"Planetocentric  +East  0 - 360","Approved","Feb 22, 2012","Town in Trinidad and Tobago.",
"Arimanes Rupes","Mars",192.67,-9.84,212.3,"Planetocentric  +East  0 - 360","Approved","1985","Albedo feature; classical Persian deity of wickedness.",
"Arkhangelsky","Mars",116.83,-41.09,335.21,"Planetocentric  +East  0 - 360","Approved","1979","A.D.; Russian geologist.",
"Arnon","Mars",0,47.66,25,"Planetocentric  +East  0 - 360","Approved","1958","Classical name for present El-Mojib River, Jordan.",
"Arnus Vallis","Mars",311.61,13.97,70.61,"Planetocentric  +East  0 - 360","Approved","1982","Classical and present day Arno River in Tuscany, Italy (previously named Arena Rupes).",
"Aromatum Chaos","Mars",72.8,-1.03,317.03,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Arrhenius","Mars",122.72,-40.04,122.71,"Planetocentric  +East  0 - 360","Approved","1973","Svante; Swedish physical chemist (1859-1927).",
"Arsia Chasmata","Mars",97.06,-7.47,240.65,"Planetocentric  +East  0 - 360","Approved","1991","Albedo name.",
"Arsia Mons","Mars",470,-8.26,239.91,"Planetocentric  +East  0 - 360","Approved","1973","Arsia Silva-classical albedo feature name.",
"Arsia Sulci","Mars",500,-6.29,230.19,"Planetocentric  +East  0 - 360","Approved","1991","Albedo name.",
"Arsinoes Chaos","Mars",200.08,-7.66,332.08,"Planetocentric  +East  0 - 360","Approved","1982","Daughter of Ptolomy Lagun and Bernice.",
"Arta","Mars",3.96,21.38,305.71,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Artik","Mars",5.36,-34.8,130.98,"Planetocentric  +East  0 - 360","Approved","Aug 30, 2013","Town in Armenia.",
"Artynia Catena","Mars",279.28,47.69,240.55,"Planetocentric  +East  0 - 360","Approved","1985","Named for classical albedo feature at 54N, 137W.",
"Asau","Mars",25.05,-3.63,154.68,"Planetocentric  +East  0 - 360","Approved","Jun 3, 2013","Village in Tuvalu.",
"Ascraeus Chasmata","Mars",105.2,8.77,254.37,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"Ascraeus Mensa","Mars",34.86,11.72,252.11,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"Ascraeus Mons","Mars",456.4,11.92,255.92,"Planetocentric  +East  0 - 360","Approved","1973","Ascraeus Lacus-classical albedo feature name.",
"Ascraeus Sulci","Mars",138.7,12.06,251.25,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"Ascuris Planum","Mars",617.66,40.59,279.22,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"Asimov","Mars",80.82,-46.97,4.93,"Planetocentric  +East  0 - 360","Approved","May 4, 2009","Isaac; American biochemist and writer (1920-1992).",
"Asopus Vallis","Mars",40.82,-4.29,210.39,"Planetocentric  +East  0 - 360","Approved","1985","Classical name for modern Hagios River, Greece.",
"Aspen","Mars",18.48,-21.39,336.85,"Planetocentric  +East  0 - 360","Approved","1976","Town in Colorado, USA.",
"Aspledon Undae","Mars",215.2,73.06,309.65,"Planetocentric  +East  0 - 360","Approved","Mar 20, 2007","Classical albedo feature name.",
"Astapus Colles","Mars",597,35.46,88.08,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 35N, 269W.",
"Athabasca Valles","Mars",270,8.54,155.01,"Planetocentric  +East  0 - 360","Approved","1997","River in Canada. (Changed from Athabasca Vallis.)",
"Atlantis Chaos","Mars",181.37,-34.28,182.69,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 30N, 173W.",
"[Atrax Dorsum]","Mars",33.86,38.19,271,"Planetocentric  +East  0 - 360","Dropped","1991","Classical town.",
"Atrax Fossa","Mars",34.42,38.19,271.02,"Planetocentric  +East  0 - 360","Approved","May 30, 2014","Classical town.",
"Auce","Mars",37.01,-27.17,80.14,"Planetocentric  +East  0 - 360","Approved","Oct 12, 2014","Town in Latvia.",
"Auki","Mars",40,-15.76,96.87,"Planetocentric  +East  0 - 360","Approved","Aug 14, 2015","Town in the Solomon Islands.",
"Auqakuh Vallis","Mars",347,30.25,60.41,"Planetocentric  +East  0 - 360","Approved","1973","Word for 'Mars' in Quechua (Inca).",
"Aureum Chaos","Mars",351.03,-3.89,333.04,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Aurorae Chaos","Mars",713.92,-8.47,325.19,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"Aurorae Planum","Mars",564.49,-10.41,311.38,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Aurorae Sinus","Mars",0,-14.83,310,"Planetocentric  +East  0 - 360","Approved","1958","""Bay of Rosy Dawn""; Aurora held back the dawn.",
"Ausonia","Mars",0,-39.67,110,"Planetocentric  +East  0 - 360","Approved","1958","Country of the Aruncii (Ausones in Greek).",
"Ausonia Cavus","Mars",49.5,-31.92,96.55,"Planetocentric  +East  0 - 360","Approved","1991","Albedo feature Ausonia.",
"Ausonia Mensa","Mars",102.51,-30.02,97.72,"Planetocentric  +East  0 - 360","Approved","1991","Albedo feature name.",
"Ausonia Montes","Mars",333.13,-25.42,99.04,"Planetocentric  +East  0 - 360","Approved","1991","Albedo feature name.",
"Australe Lingula","Mars",436.33,-84.05,68.56,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Australe Mensa","Mars",172,-86.88,357.24,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Australe Montes","Mars",411.67,-80.19,14.05,"Planetocentric  +East  0 - 360","Approved","2003","Classical albedo feature name.",
"Australe Scopuli","Mars",504.58,-83.48,247.06,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Australe Sulci","Mars",357.91,-84.99,133.06,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"[Australis Patera]","Mars",12.7,-80.09,308.3,"Planetocentric  +East  0 - 360","Dropped","1991","Classical albedo name. Name dropped Sept. 2006 because feature was incorrectly named.",
"[Australis Tholus]","Mars",40,-58.7,37,"Planetocentric  +East  0 - 360","Dropped","1978","Classical albedo feature name; dropped in 1978.",
"Auxo Dorsum","Mars",82.05,-55.72,318.24,"Planetocentric  +East  0 - 360","Approved","1991","One of the Graces.",
"Avarua","Mars",49.99,-35.93,109.66,"Planetocentric  +East  0 - 360","Approved","Jun 21, 2010","Town in the Cook Islands.",
"Aveiro","Mars",9.11,21.28,281.03,"Planetocentric  +East  0 - 360","Approved","1985","Town in Portugal.",
"Avernus Cavi","Mars",115,-3.72,172.52,"Planetocentric  +East  0 - 360","Approved","1985","Named for albedo feature at 10S, 195W.",
"Avernus Colles","Mars",238.7,-1.73,171.02,"Planetocentric  +East  0 - 360","Approved","1985","Named for albedo feature at 10S, 195W.",
"Avernus Dorsa","Mars",296.59,-6.03,170.9,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 4S, 190W.",
"Avernus Rupes","Mars",223.32,-9.2,172.8,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature Avernus at 10S, 195W.",
"Avire","Mars",6.85,-40.82,200.24,"Planetocentric  +East  0 - 360","Approved","Apr 16, 2008","Town in the Republic of Vanuatu.",
"Axius Valles","Mars",435.95,-54.53,70.72,"Planetocentric  +East  0 - 360","Approved","1979","Ancient European River (Vardar River of Greece).",
"Ayacucho","Mars",2.59,38.18,267.97,"Planetocentric  +East  0 - 360","Approved","1991","Town in Bolivia.",
"Ayr","Mars",12.74,-38.98,91.58,"Planetocentric  +East  0 - 360","Approved","1991","Town in Queensland, Australia.",
"Azul","Mars",19.53,-42.07,317.49,"Planetocentric  +East  0 - 360","Approved","1976","Town in Argentina.",
"Azusa","Mars",39.25,-5.48,319.68,"Planetocentric  +East  0 - 360","Approved","1976","Town in California, USA.",
"Babakin","Mars",76.66,-36,288.56,"Planetocentric  +East  0 - 360","Approved","1985","Soviet builder of unmanned space stations (1914-1970).",
"Bacht","Mars",7.86,18.66,102.7,"Planetocentric  +East  0 - 360","Approved","1976","Town in Uzbekistan.",
"Bacolor","Mars",21.58,32.99,118.6,"Planetocentric  +East  0 - 360","Approved","2006","Town in the Philippines.",
"Bada","Mars",2.52,20.35,309.31,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Badwater","Mars",33.14,-32.79,62.14,"Planetocentric  +East  0 - 360","Approved","Apr 11, 2015","Town in California, USA.",
"Baetis Chaos","Mars",66.66,-0.17,299.6,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Baetis Chasma","Mars",92.21,-4.29,295.13,"Planetocentric  +East  0 - 360","Approved","1985","From classical albedo feature at 5S, 60W; changed from Iamunae Chasma.",
"Baetis Mensa","Mars",181.1,-5.17,287.55,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature at 7S, 63W.",
"Bahn","Mars",11.93,-3.5,316.68,"Planetocentric  +East  0 - 360","Approved","1976","Town in Liberia.",
"Bahram Vallis","Mars",269.68,20.42,302.86,"Planetocentric  +East  0 - 360","Approved","1976","Word for 'Mars' in Persian.",
"Bak","Mars",3.13,18.05,103.78,"Planetocentric  +East  0 - 360","Approved","1988","Town in Hungary.",
"Bakhuysen","Mars",152.9,-22.97,15.73,"Planetocentric  +East  0 - 360","Approved","1973","Hendrik G.; Dutch astronomer (1838-1923).",
"Balboa","Mars",21.95,-3.82,326.12,"Planetocentric  +East  0 - 360","Approved","1976","Town in the Republic of Panama, formerly within the US Panama Canal Zone.",
"Baldet","Mars",181.31,22.76,65.48,"Planetocentric  +East  0 - 360","Approved","1973","Fernand; French astronomer (1885-1964).",
"Balta","Mars",17.28,-23.82,333.45,"Planetocentric  +East  0 - 360","Approved","1976","Town in Ukraine.",
"Baltia","Mars",0,59.71,310,"Planetocentric  +East  0 - 360","Approved","1958","Name of large island in northern Europe where amber was found.",
"Baltisk","Mars",50.75,-42.27,305.34,"Planetocentric  +East  0 - 360","Approved","1976","Town in Russia.",
"Balvicar","Mars",20.35,16.2,306.76,"Planetocentric  +East  0 - 360","Approved","1988","Town in Scotland.",
"Bamba","Mars",22.57,-3.36,318.41,"Planetocentric  +East  0 - 360","Approved","1976","Town in Zaire.",
"Bamberg","Mars",55.7,39.71,356.9,"Planetocentric  +East  0 - 360","Approved","1976","Town in Germany.",
"Banff","Mars",5,17.51,329.29,"Planetocentric  +East  0 - 360","Approved","1976","Town in Alberta, Canada.",
"Banh","Mars",14.4,19.42,304.5,"Planetocentric  +East  0 - 360","Approved","1976","Town in Burkina Faso (formerly Upper Volta).",
"Baphyras Catena","Mars",95.52,38.83,275.84,"Planetocentric  +East  0 - 360","Approved","1991","Classical river.",
"Bar","Mars",2.06,-25.25,340.5,"Planetocentric  +East  0 - 360","Approved","1976","Town in Ukraine.",
"Barabashov","Mars",120.67,47.33,291.25,"Planetocentric  +East  0 - 360","Approved","1973","Nikolay P.; Russian astronomer (1894-1971).",
"Barnard","Mars",121.11,-61.06,61.59,"Planetocentric  +East  0 - 360","Approved","1973","Edward E.; American astronomer (1857-1923).",
"Baro","Mars",16.93,-24.8,110.7,"Planetocentric  +East  0 - 360","Approved","1991","Town in Nigeria.",
"Barsukov","Mars",68.45,7.97,330.98,"Planetocentric  +East  0 - 360","Approved","2003","Valery L.; Soviet geochemist and planetologist (1928-1992).",
"Bashkaus Valles","Mars",246.93,-25.68,356.74,"Planetocentric  +East  0 - 360","Approved","Jun 25, 2013","River in the Altai Republic, Russia.",
"Basin","Mars",15.53,17.82,107,"Planetocentric  +East  0 - 360","Approved","1976","Town in Wyoming, USA.",
"[Bathys Planum]","Mars",626,-42.66,254,"Planetocentric  +East  0 - 360","Dropped","1979","Classical albedo feature; name changed to Icaria Planum.",
"Batoka","Mars",14.96,-7.55,323.35,"Planetocentric  +East  0 - 360","Approved","1976","Town in Zambia.",
"Batoş","Mars",17.33,21.5,330.5,"Planetocentric  +East  0 - 360","Approved","1976","Town in Romania.",
"Baucau","Mars",17.94,-28.37,304.9,"Planetocentric  +East  0 - 360","Approved","Feb 22, 2012","Town in Timor-Leste.",
"Baykonyr","Mars",3.9,46.41,132.68,"Planetocentric  +East  0 - 360","Approved","1979","Soviet launch site.",
"Bazas","Mars",16.43,-27.78,93.38,"Planetocentric  +East  0 - 360","Approved","1991","Town in France.",
"Becquerel","Mars",165.23,21.89,352.06,"Planetocentric  +East  0 - 360","Approved","1973","Antoine H.; French physicist (1852-1908).",
"Beer","Mars",85.5,-14.47,351.83,"Planetocentric  +East  0 - 360","Approved","1973","Wilhelm; German astronomer (1797-1850).",
"Beloha","Mars",31.74,-39.58,56.71,"Planetocentric  +East  0 - 360","Approved","2006","Town in Madagascar.",
"Beltra","Mars",7.17,18.01,102.4,"Planetocentric  +East  0 - 360","Approved","1988","Town in Ireland.",
"Belyov","Mars",0.2,-45.02,201.99,"Planetocentric  +East  0 - 360","Approved","Aug 5, 2013","(Belev) Town in Tula region, Russia.",
"Belz","Mars",10.21,21.57,316.77,"Planetocentric  +East  0 - 360","Approved","1976","Town in Ukraine.",
"Bend","Mars",3.7,-22.4,332.26,"Planetocentric  +East  0 - 360","Approved","1976","Town in Oregon, USA.",
"Bentham","Mars",11.36,-55.78,319.45,"Planetocentric  +East  0 - 360","Approved","1991","Town in England.",
"Bentong","Mars",10.32,-22.31,340.96,"Planetocentric  +East  0 - 360","Approved","1976","Town in Malaysia.",
"Bernard","Mars",128.1,-23.24,205.79,"Planetocentric  +East  0 - 360","Approved","1985","P.; French atmospheric scientist.",
"Berseba","Mars",36.83,-4.4,322.4,"Planetocentric  +East  0 - 360","Approved","1976","Town in Namibia.",
"Beruri","Mars",45.12,5.27,81.24,"Planetocentric  +East  0 - 360","Approved","Sep 14, 2006","Town in Brazil.",
"Betio","Mars",32.44,-23.13,281.35,"Planetocentric  +East  0 - 360","Approved","Nov 12, 2013","Village in Kiribati.",
"Bhor","Mars",5.73,41.75,134.53,"Planetocentric  +East  0 - 360","Approved","1979","Town in India.",
