Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Tenuis Mensa","Mars",120.92,81.13,267.04,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Tepko","Mars",3.98,15.21,103.51,"Planetocentric  +East  0 - 360","Approved","1988","Town in Australia.",
"Terby","Mars",171.5,-27.96,74.14,"Planetocentric  +East  0 - 360","Approved","1973","Francois J.; Belgian astronomer (1846-1911).",
"Termes Vallis","Mars",55.6,-11.11,202.99,"Planetocentric  +East  0 - 360","Approved","1988","Classical river in ancient Lusitania, present Tormes River, Spain.",
"Terra Cimmeria","Mars",5855.87,-32.68,147.75,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"[Terra Meridiani]","Mars",1622,-7.12,4,"Planetocentric  +East  0 - 360","Dropped","1979","Classical albedo feature name. Name dropped when new boundaries for regional features were defined in July, 2001.",
"Terra Sabaea","Mars",4688.44,2.72,51.3,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Terra Sirenum","Mars",3635.18,-39.49,205.85,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Teviot Vallis","Mars",143.89,-43.37,102.26,"Planetocentric  +East  0 - 360","Approved","2003","River in Scotland.",
"Tharsis","Mars",0,0,260,"Planetocentric  +East  0 - 360","Approved","1973","Connecting link between East and West; ancient Spanish town Tartessus.",
"Tharsis Montes","Mars",2058.91,1.57,247.42,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Tharsis Tholus","Mars",149.3,13.25,269.31,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Thaumasia","Mars",0,-34.68,275,"Planetocentric  +East  0 - 360","Approved","1958","Named for Thaumas, god of clouds; Arabia.",
"Thaumasia Fossae","Mars",996.18,-47.75,268.95,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Thaumasia Planum","Mars",799.6,-21.66,294.78,"Planetocentric  +East  0 - 360","Approved","1994","Albedo feature at 30S, 75W.",
"Thermia","Mars",2.76,19.67,109.17,"Planetocentric  +East  0 - 360","Approved","1988","Town in Greece.",
"Thila","Mars",5.37,18.11,155.52,"Planetocentric  +East  0 - 360","Approved","Jul 1, 2008","Town in Yemen.",
"Thira","Mars",21.84,-14.47,175.98,"Planetocentric  +East  0 - 360","Approved","1997","Town on Santorini Island in the Aegean Sea.",
"Thom","Mars",22.06,-41.11,92.35,"Planetocentric  +East  0 - 360","Approved","1991","Town in Thailand.",
